NOME;POTENCIA;PROPRIET;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Umburanas 15;20000;100% para Eólica Umburanas  15 S.A. (PIE);20190406;EOL.CV.BA.031754-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Brígida VI;28900;100% para Ventos de Santa Brígida VI Energias Renováveis S.A (PIE);20151225;EOL.CV.PE.031353-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Icaraí II;37800;100% para CENTRAL GERADORA EOLICA ICARAI II S.A. (PIE);20140328;EOL.CV.CE.030356-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
SANTO ANTERO;48400;100% para VENTOS DE SANTO ANTERO ENERGIAS RENOVAVEIS S.A (PIE);20220714;EOL.CV.PE.035249-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Joana V;28900;100% para Ventos de Santa Joana V Energias Renováveis S.A (PIE);20160122;EOL.CV.PI.031538-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Seridó XVI;46400;100% para PARQUE EOLICO SERRA DO SERIDO XVI S.A. (PIE);20240612;EOL.CV.PB.051574-4.1;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Miguel III;21000;100% para CENTRAL GERADORA EÓLICA SÃO MIGUEL III S/A (PIE);20190214;EOL.CV.RN.033647-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Luzia 13;54000;100% para Ventos de São Jeremias Energias Renováveis S.A. (PIE);20240322;EOL.CV.RN.051587-6.02;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Campo Largo I;29700;100% para CLWP EÓLICA PARQUE I S.A. (PIE);20180921;EOL.CV.BA.034613-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ventos de Santa Esperança 21;46200;100% para ENEL GREEN POWER VENTOS DE SANTA ESPERANÇA 21 S.A. (PIE);20211113;EOL.CV.BA.034511-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Cabeço Preto IV;19800;100% para Gestamp Eólica Moxotó S.A (PIE);20120504;EOL.CV.RN.030501-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Cristovão;26000;100% para Central Eólica São Cristóvão S.A (PIE);20141111;EOL.CV.CE.030912-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Atlântica V;30000;100% para Atlântica V Parque Eólico S.A (PIE);20131114;EOL.CV.RS.030480-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
